File,ML algorithm,Avg Accuracy,Avg Precision,Avg Recall,Avg F1-score,Avg Time
DoS Slowhttptest,QDA,0.9293507910529188,0.9139426523297492,0.9184353404410629,0.9161411878669178,0.009216904640197754
DoS Slowhttptest,Random Forest,0.9868248772504092,0.989263462482248,0.9793869982896695,0.9840587161918475,0.04379336833953858
DoS Slowhttptest,ID3,0.9819967266775776,0.9839690436705361,0.9730087434663768,0.9782711307676392,0.02352921962738037
DoS Slowhttptest,AdaBoost,0.9912711402073103,0.9885928102302485,0.9906310108001257,0.989604176761606,0.25418102741241455
DoS Slowhttptest,MLP,0.8066557555919257,0.7936242331283114,0.8413405582817838,0.793957976553859,0.8152114629745484
DoS Slowhttptest,Nearest Neighbors,0.9773595199127115,0.9726307815399282,0.9733726549554301,0.9730006503205416,0.07099041938781739
DoS slowloris,Naive Bayes,0.7461180124223602,0.7813083914516394,0.6041267203278282,0.6008623834953066,0.012334966659545898
DoS slowloris,QDA,0.8835403726708074,0.8611024692574514,0.9084796240796427,0.8736713257448944,0.009144282341003418
DoS slowloris,Random Forest,0.976552795031056,0.9766691887369324,0.9683919936578468,0.972342326403224,0.039043974876403806
DoS slowloris,ID3,0.9862836438923395,0.9836490932734424,0.9843146304105239,0.9839809403289402,0.015489745140075683
DoS slowloris,AdaBoost,0.9736024844720497,0.9728025964108438,0.9652427714608118,0.968903842457749,0.19137811660766602
DoS slowloris,MLP,0.7503623188405798,0.7507316504044506,0.7114007842528245,0.6535142745619786,0.9015541315078736
DoS slowloris,Nearest Neighbors,0.9712732919254657,0.9706061538805045,0.9619461417942132,0.9661198470991664,0.06274640560150146
DoS Hulk,Naive Bayes,0.5992703620276665,0.6989654270151595,0.7053426967685861,0.5991465837789448,0.19691684246063232
DoS Hulk,QDA,0.47229128394212233,0.6611576472201804,0.6164991560729745,0.46543682104352363,0.2706364393234253
DoS Hulk,Random Forest,0.964345760115288,0.9535249612561018,0.9627860881861977,0.9579711504424573,1.605107808113098
DoS Hulk,ID3,0.968570389940863,0.9537802236615113,0.9752126103880048,0.9634611958428521,0.5717344284057617
DoS Hulk,AdaBoost,0.9737810696596536,0.9679801348071176,0.969693086313038,0.9688307648333335,8.000432300567628
DoS Hulk,MLP,0.9460022460385981,0.9470676796011741,0.9290203159984397,0.9317875581418751,75.07628633975983
DoS Hulk,Nearest Neighbors,0.9977215041967167,0.9967124576932884,0.9978714789233486,0.9972895072058764,10.795230388641357
DoS GoldenEye,Naive Bayes,0.8839988341591372,0.874767284207367,0.8484615330414942,0.8597763363877726,0.017654561996459962
DoS GoldenEye,QDA,0.7730982220926844,0.7887954422137821,0.8355165856750475,0.7676899321353917,0.013335204124450684
DoS GoldenEye,Random Forest,0.9949868842902945,0.9944247972871214,0.9938592517265569,0.9941403712961427,0.0609548807144165
DoS GoldenEye,ID3,0.9941707956863887,0.9917190718093064,0.9947406638993854,0.9932110900830567,0.030292868614196777
DoS GoldenEye,AdaBoost,0.9903818128825416,0.9909369957439097,0.9865671379619052,0.9887138157894737,0.3689356803894043
DoS GoldenEye,MLP,0.8103614106674438,0.7725630269863217,0.8059734838000718,0.7652323678413284,3.0108938932418825
DoS GoldenEye,Nearest Neighbors,0.9788691343631596,0.9710923438152003,0.9804180634317852,0.9755599282844944,0.12170581817626953
DDoS,Naive Bayes,0.7949085693797059,0.7724510259156802,0.7096618062646032,0.7276738838853831,0.040029597282409665
DDoS,QDA,0.42721405521692357,0.6715290091875448,0.5905972214255396,0.4095117996710068,0.03572709560394287
DDoS,Random Forest,0.9653818572965219,0.9502737323473045,0.9713706624448853,0.9597867215783976,0.2404707670211792
DDoS,ID3,0.9648978128361418,0.9486973488238247,0.972735599481455,0.9593678957451447,0.08406200408935546
DDoS,AdaBoost,0.959053424166368,0.9456372349629353,0.9592554368816945,0.9520297077424404,0.9900176763534546
DDoS,MLP,0.7573252061670849,0.7605359359191874,0.7101889629485165,0.6875776165207215,5.2398518323898315
DDoS,Nearest Neighbors,0.9313373969164577,0.9146209688059711,0.9243867212744885,0.9192698844552675,1.0469073057174683
